HCPC,SEQNUM,RECID,"LONG DESCRIPTION","SHORT DESCRIPTION",PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,"ADD DT","ACT EFF DT","TERM DT","ACTION CD"
"   A1",0010,7,"Dressing for one wound","Dressing for one wound",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A2",0010,7,"Dressing for two wounds","Dressing for two wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A3",0010,7,"Dressing for three wounds","Dressing for three wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A4",0010,7,"Dressing for four wounds","Dressing for four wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A5",0010,7,"Dressing for five wounds","Dressing for five wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A6",0010,7,"Dressing for six wounds","Dressing for six wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A7",0010,7,"Dressing for seven wounds","Dressing for seven wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A8",0010,7,"Dressing for eight wounds","Dressing for eight wounds",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   A9",0010,7,"Dressing for nine or more wounds","Dressing for 9 or more wound",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020701,20020701,,N
"   AA",0010,7,"Anesthesia services performed personally by anesthesiologist","Anesthesia perf by anesgst",,,,,,,,,3350.5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19840101,20010101,,N
